,constituency,eligible_voters,line,num_candidates,state,valid_votes,votes_cast,candidate,party,percent,votes
1,Kyaikto-1,39706.0,862.0,3.0,Mon,24657.0,28819.0,Col. Aung Tun,NUP,32,7893
0,Kyaikto-2,34295.0,866.0,2.0,Mon,22244.0,24767.0,Dr. Aye Zan,NLD,72,15978
1,Kyaikto-2,34295.0,866.0,2.0,Mon,22244.0,24767.0,Lt-Col Maung Nyo,NUP,28,6266
0,Paung-1,56187.0,870.0,4.0,Mon,36287.0,41116.0,Nyan Win,NLD,55,20032
1,Paung-1,56187.0,870.0,4.0,Mon,36287.0,41116.0,Nai Thein Maung,MNDF,24,8630
2,Paung-1,56187.0,870.0,4.0,Mon,36287.0,41116.0,Kyaw Sein,NUP,18,6709
0,Paung-2,57566.0,878.0,4.0,Mon,35931.0,41348.0,Nai Thaung Nyunt,NLD,59,21242
1,Paung-2,57566.0,878.0,4.0,Mon,35931.0,41348.0,Tin Kyi,NUP,26,9423
2,Paung-2,57566.0,878.0,4.0,Mon,35931.0,41348.0,Nai Maung Sein,MNDF,13,4770
0,Nyaungdon-1,52348.0,886.0,4.0,Ayeyarwady,32962.0,38168.0,Aung Kyaing,NLD,52,17078
1,Nyaungdon-1,52348.0,886.0,4.0,Ayeyarwady,32962.0,38168.0,Kyaw Than,NUP,36,11854
2,Nyaungdon-1,52348.0,886.0,4.0,Ayeyarwady,32962.0,38168.0,Khin Than,DFNR,11,3473
0,Nyaungdon-2,50671.0,894.0,5.0,Ayeyarwady,28867.0,35371.0,Tha Soe,NLD,54,15675
1,Nyaungdon-2,50671.0,894.0,5.0,Ayeyarwady,28867.0,35371.0,Mahn Hla Thein,NUP,35,10143
0,Pantanaw-1,60099.0,898.0,5.0,Ayeyarwady,37113.0,43648.0,Dr. Tin Min Htut,NLD,57,21160
1,Pantanaw-1,60099.0,898.0,5.0,Ayeyarwady,37113.0,43648.0,Maung Maung Nyan,NUP,39,14404
0,Pantanaw-2,61192.0,903.0,5.0,Ayeyarwady,36113.0,42204.0,Mahn Nyunt Thein,NLD,59,21353
1,Pantanaw-2,61192.0,903.0,5.0,Ayeyarwady,36113.0,42204.0,Mahn Thet Tin,NUP,36,13110
0,Zalun-1,55571.0,907.0,3.0,Ayeyarwady,37616.0,42309.0,Kyaw Myint,NLD,63,23519
1,Zalun-1,55571.0,907.0,3.0,Ayeyarwady,37616.0,42309.0,Tin Tun,NUP,36,13674
0,Zalun-2,54361.0,911.0,4.0,Ayeyarwady,38905.0,43673.0,Col. Kyi Win,NLD,71,27558
1,Zalun-2,54361.0,911.0,4.0,Ayeyarwady,38905.0,43673.0,San Win,NUP,26,10304
0,Falam-1,12531.0,916.0,3.0,Chin,9511.0,9928.0,C.K. Taikwell,CNLD,65,6127
